,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
2167,125,1,-1.0,-1.0,0.099749555,2,1,1,0.226242781,0
2168,126,1,1.0,-1.0,0.099749555,2,1,1,0.262060165,0
2170,128,-1,-1.0,-1.0,0.85,2,1,1,1.449224949,0
2174,132,1,1.0,-1.0,0.291182282,2,0,2,0.631877899,0
2175,133,0,-1.0,1.0,0.497498683,2,1,2,0.595566988,0
2176,134,1,-1.0,-1.0,0.099749555,2,0,2,0.647041798,0
2178,136,1,1.0,-1.0,0.291182282,2,1,1,0.336436749,0
2179,137,1,-1.0,1.0,0.02,2,1,2,0.420441628,0
2180,138,1,-1.0,-1.0,0.85,2,1,1,1.029339314,0
2184,142,1,-1.0,-1.0,0.02,2,1,1,0.345346212,0
2189,147,1,-1.0,1.0,0.099749555,2,1,2,0.317276478,0
2190,148,1,-1.0,-1.0,0.099749555,2,1,1,0.209340811,0
2191,149,1,-1.0,1.0,0.099749555,2,1,2,0.22781229,0
2192,150,1,-1.0,-1.0,0.497498683,2,1,1,0.169806242,0
2193,151,1,-1.0,1.0,0.85,2,1,2,0.269758701,0
2194,152,1,1.0,-1.0,0.85,2,1,1,0.308939934,0
2195,153,1,1.0,1.0,0.02,2,0,1,0.245322943,0
2198,156,0,1.0,1.0,0.034170945,2,1,2,0.194761992,0
2201,159,1,-1.0,-1.0,0.497498683,2,1,1,0.342217207,0
2202,160,0,-1.0,1.0,0.170426826,2,1,2,0.274353981,0
2205,163,0,1.0,-1.0,0.291182282,2,0,2,0.809251547,0
2207,165,0,1.0,-1.0,0.497498683,2,1,1,0.569186211,0
2208,166,-1,1.0,-1.0,0.85,2,1,1,1.705621719,0
2209,167,1,1.0,1.0,0.291182282,2,0,1,0.332314253,0
2210,168,1,1.0,-1.0,0.170426826,2,1,1,0.615018129,0
2211,169,1,1.0,-1.0,0.291182282,2,1,1,0.387218952,0
2212,170,1,1.0,-1.0,0.034170945,2,1,1,0.324714899,0
2213,171,-1,-1.0,-1.0,0.099749555,2,0,2,0.665394306,0
2214,172,1,-1.0,1.0,0.02,2,0,1,0.20728302,0
2215,173,0,1.0,-1.0,0.291182282,2,1,1,0.284221649,0
2218,176,1,-1.0,-1.0,0.170426826,2,1,1,0.299021244,0
2225,183,1,1.0,1.0,0.497498683,2,1,2,0.271964073,0
2227,185,1,1.0,1.0,0.02,2,1,2,0.293989658,0
2228,186,0,1.0,1.0,0.099749555,2,1,2,0.228898287,0
